Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,478,JAPAN,2022,JPN,Cambodia,Transport Policy Advisor_01,6833.611939,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3880,JAPAN,2022,JPN,Thailand,The Project of Smart Transport Strategy for Thailand 4.0_02,6969.332328,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,Yes,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2559,JAPAN,2021,JPN,Senegal,Sustainable Port Development and Planning (For Port Engineer)_13,7018.268127,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1858,JAPAN,2022,JPN,Laos,Project for Institutional Capacity Building for Sustainable Urban Transport System_01,7108.176093,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,710,JAPAN,2021,JPN,Ethiopia,Landslide countermeasure works for trunk roads,7224.720739,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4249,JAPAN,2022,JPN,Vanuatu,Hydrography for Charting and Disaster Management (Internationally Accredited Category B)_08,7359.75433,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2397,JAPAN,2022,JPN,Mozambique,Comprehensive Urban Transportation Planning_06,7413.555528,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4427,JAPAN,2022,JPN,Zambia,Comprehensive Urban Transportation Planning_11,7413.555528,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1968,JAPAN,2022,JPN,Madagascar,"Urban Solid Waste Management (Emphasis on Collection, Transportation and Final Disposal) (B)_07",7558.497675,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,,Yes,No,Exchange rate is determined based on the date of committement,Water and Sanitation,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3178,JAPAN,2021,JPN,Zambia,Core Human Resource Development for Road Asset Management (JFY2020)_06,7568.111413,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,Yes,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2624,JAPAN,2021,JPN,Solomon Islands,Hydrography for Charting and Disaster Management (Internationally Accredited Category B)_03,7569.733222,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2889,JAPAN,2021,JPN,Timor-Leste,Hydrography for Charting and Disaster Management (Internationally Accredited Category B)_04,7569.733222,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3946,JAPAN,2022,JPN,Timor-Leste,"Disaster Risk Reduction and Management on Infrastructure (River, Road and Port)_13",7681.564777,,Disbursed,Bilateral,ODA,Grant,Adaptation,Disaster risk reduction,,Yes,No,Exchange rate is determined based on the date of committement,Disaster risk reduction,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1038,JAPAN,2021,JPN,Indonesia,"Maritime Search and Rescue, Maritime Disaster Prevention, and Marine Environment Protection for Coast Guard Officials_02",7883.794668,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1114,JAPAN,2021,JPN,Jamaica,"Maritime Search and Rescue, Maritime Disaster Prevention, and Marine Environment Protection for Coast Guard Officials_03",7883.794668,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1411,JAPAN,2021,JPN,Malaysia,"Maritime Search and Rescue, Maritime Disaster Prevention, and Marine Environment Protection for Coast Guard Officials_05",7883.794668,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
