Source file,Source sheet,Source row (Excel),Funding economy,Year,economy_code,Recipient country or region,"Title of the project programme, activity or other",Value (USD),Value (USD) notes,Status,Channel,Funding source,Financial instrument,Type of support,Sector,Subsector,Contribution to capacity building objectives,Contribution to technology development and transfer objectives,Additional information,Sector_text1,Sector_text2,Sector_text3,Sector_text4,Sector_text5,Subsector_text1,Subsector_text2,Subsector_text3,Subsector_text4,Subsector_text5
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,959,JAPAN,2021,JPN,India,Data Collection Survey for Enhancing Non-Rail Revenue and Social Impacts of the Indian Metro Projects,543752.0273,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4354,JAPAN,2022,JPN,Vietnam,Data Collection Survey,547112.9506,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3414,JAPAN,2022,JPN,Rwanda,Project for Large Scale Mapping and Urban Mobility Improvement to Support Infrastructure and Services in Kigali,559665.4716,,Committed,Bilateral,ODA,Grant,Cross-cutting,Other (Social infrastructure and services),Social infrastructure and services,Yes,No,Exchange rate is determined based on the date of committement,Other (Social infrastructure and services),,,,,Social infrastructure and services,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,686,GERMANY,2021,DEU,Serbia,"Low Carbon Energy Fazilitaet (DKTI) - Accompanying Measure, BMZ-Nr. 2021.7032.2, 2021",588235,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
NLD-CTF-FTC-2024-V1.0-20241216-102903_final-checked NETHERLANDS.xlsx,Table1_2021,124,NETHERLANDS,2021,NLD,South Sudan,4000002055 - Feeder Road Improvm & Maint Proj (FRIMP),592184,,Disbursed,Multi-bilateral,ODA,Grant,Adaptation,Transport,21020,Yes,No,Feeder Road Improvement and Maintenance Project will target feeder roads connecting to the agricultural markets to provide access all season. https://www.nlontwikkelingssamenwerking.nl/#/activities/XM-DAC-7-PPR-4000002055?tab=summary,Transport,,,,,Road transport,,,,
ESP-CTF-FTC-2024-V0.3-20250529-090652_started SPAIN.xlsx,Table1_2022,1044,SPAIN,2022,ESP,Uganda,Railway signaling study,618947.3684,,Committed,Bilateral,OOF,Grant,Mitigation,Transport,21030 Rail transport,No,NR,Supported by the Corporate Internationalization Fund (FIEM),Transport,,,,,Rail transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1937,JAPAN,2021,JPN,Myanmar,Detailed Design Survey for Yangon-Mandalay Railway Improvement Project Phase I (New Bridges),631300.0437,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2022,226,EU,2022,,"Developing countries, unspecified",Knowledge Hub Jobs & Growth (Part I)  Global Gateway Support Mechanism (GGSM),631578.9474,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,210: Transport and storage,UA (1),UA (1),"The Action will contribute to reduce the infrastructure gap by enhancing capacity and skills development of decision_x0002_ makers, agencies and regulators, responsible for the policy and regulatory frameworks, related to the development of the connectivity agenda and the application of good practices on quality infrastructure throughout the infrastructure life cycle, in particular for the transport sector, with a focus on decarbonisation, resilience, operation and maintenance.",Transport,,,,,210: Transport and storage,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2418,GERMANY,2022,DEU,Global,"Mainstreaming EbA - Strengthening ecosystem based adaptation in decision making processes , 2022",631579,,Committed,Bilateral,ODA,Grant,Adaptation,Water and sanitation,Transport,,,,Water and sanitation,,,,,Transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2399,JAPAN,2021,JPN,Philippines,Technical Assistance Project to Establish of the Philippine Railway Institute_02,633089.7826,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1468,JAPAN,2022,JPN,Indonesia,Preparatory Survey on Java North Line Upgrading Project,654404.3026,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,653,JAPAN,2021,JPN,El Salvador,Survey on Port Activation Plan in La Union Port,680387.093,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,4164,JAPAN,2022,JPN,Ukraine,Emergency Grant Aid for the transportation of relief products for Ukraine,680737.4972,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Emergency response and Reconstruction Relief) ,Emergency response and Reconstruction Relief,No,No,Exchange rate is determined based on the date of committement,Other (Emergency response and Reconstruction Relief),,,,,Emergency response and Reconstruction Relief,,,,
ITA-CTF-FTC-2024-V1.1-20250328-105338_started ITALY.xlsx,Table1_2021,294,ITALY,2021,ITA,State of Palestine,Be the impact: the cooperative system and social entrepreneurship as vehicles for an inclusive and sustainable development,709644.3026,,Committed,Bilateral,ODA,Grant,Cross-cutting,Other (Finance),,UA,UA,"The initiative aims at strengthening the Palestinian cooperative system and promoting social entrepreneurship in the country. The ultimate objective is to contribute to pave the way for a more inclusive and sustainable economy in Palestine, which combine the market principles with social purposes.",Other (Finance),,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2033,GERMANY,2022,DEU,Viet Nam,"SHIFT - Shifting Investment Flows Towards Green Transformation - scoping mission, 2022",738947,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1174,JAPAN,2022,JPN,Ghana,The Project on Capacity Building for Road and Bridge Project Cycle Management_01,764625.2367,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2213,GERMANY,2022,DEU,Mexico,"EcoZones: Piloting an approach for co-designing, scaling and replicating inclusive climate action at the neighbourhood level, 2022",766078,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
ESP-CTF-FTC-2024-V0.3-20250529-090652_started SPAIN.xlsx,Table1_2022,856,SPAIN,2022,ESP,Senegal,Study for the construction of the air hub of the new Dakar International Airport,789473.6842,,Committed,Bilateral,OOF,Grant,Mitigation,Transport,21050 Air transport,NR,NR,Supported by the Corporate Internationalization Fund (FIEM),Transport,,,,,Air transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3293,JAPAN,2022,JPN,Philippines,The Economic and Social Development Programme_17,798914.6934,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,2633,JAPAN,2022,JPN,"Developing countries, unspecified",Project study on railway operation and maintenance,799049.0633,,Disbursed,Multi-bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
NLD-CTF-FTC-2024-V1.0-20241216-102903_final-checked NETHERLANDS.xlsx,Table1_2021,77,NETHERLANDS,2021,NLD,Rwanda,4000000268 - Feeder Roads Development Project,799708,,Disbursed,Multi-bilateral,ODA,Grant,Adaptation,Transport,21020,No,No,Feeder Roads Development Project https://www.nlontwikkelingssamenwerking.nl/#/activities/XM-DAC-7-PPR-4000000268?tab=summary,Transport,,,,,Road transport,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,203,AUSTRALIA,2022,AUS,Southern Asia,South Asia Regional Infrastructure Connectivity,813791.8695,,Disbursed,Regional,ODA,Grant,Cross-cutting,"Energy
Other (Communications)
Transport","23110
22010
21010",,,,"Energy
Other (Communications)
Transport",,,,,Energy policy and administrative management,Communications policy and administrative management,Transport policy and administrative management,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1952,GERMANY,2022,DEU,Philippines,"SPARK - Sparking active mobility actions for climate-friendly cities, 2022",831217,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,3122,JAPAN,2021,JPN,Vietnam,Project for Supporting Development of Interoperable Smart Card System for Public Transportation in Hanoi,866082.9674,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3347,JAPAN,2022,JPN,Philippines,Detailed Design Study on Road Network Development Project in conflict Affected Areas in Mindanao (Tapian-Lebak Coastal Road etc),869145.9906,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
NLD-CTF-FTC-2024-V1.0-20241216-102903_final-checked NETHERLANDS.xlsx,Table1_2022,115,NETHERLANDS,2022,NLD,Uganda,4000002708 - Securing Refugee-Host relation in Uganda,870706,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Government and civil society),15190,No,No,"The project aims to enhance the protection, well-being and dignity of South Sudanese refugees and their hosts in Adjumani, Kiryandongo and Lamwo districts. - https://www.nlontwikkelingssamenwerking.nl/#/activities/XM-DAC-7-PPR-4000002708?tab=summary",Other (Government and civil society),,,,,"Facilitation of orderly, safe, regular and responsible migration and mobility",,,,
NLD-CTF-FTC-2024-V1.0-20241216-102903_final-checked NETHERLANDS.xlsx,Table1_2022,62,NETHERLANDS,2022,NLD,Rwanda,4000000268 - Feeder Roads Development Project,992242,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21020,No,No,Project development objective is to enhance all season road connectivity to agricultural market centers in the selected districts - https://www.nlontwikkelingssamenwerking.nl/#/activities/XM-DAC-7-PPR-4000000268?tab=summary,Transport,,,,,Road transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1179,GERMANY,2022,DEU,Africa,"Linking Market Mechanisms and Climate Finance in Africa, 2022",999980,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1893,GERMANY,2022,DEU,–Western Asia,"Acccess to finance for the sustainable and climate adaptive development of rural areas in Moldova, BMZ-Nr. 2020.1016.3, 2022",1001895,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,1355,JAPAN,2022,JPN,India,Capacity Development of the Construction of High-Speed Railway Corridor (FY2021),1041761.934,,Disbursed,Bilateral,ODA,Grant,Mitigation,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
NLD-CTF-FTC-2024-V1.0-20241216-102903_final-checked NETHERLANDS.xlsx,Table1_2021,152,NETHERLANDS,2021,NLD,Uganda,4000002708 - Securing Refugee-Host relation in Uganda,1050518,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Government and civil society),15190,No,No,Securing Refugee-Host Relations in northern Uganda through Enhanced Protection (Phase II) https://www.nlontwikkelingssamenwerking.nl/#/activities/XM-DAC-7-PPR-4000002708?tab=summary,Other (Government and civil society),,,,,"Facilitation of orderly, safe, regular and responsible migration and mobility",,,,
AUT-CTF-FTC-2024 (1) AUSTRIA.xlsx,Table1_2022,107,AUSTRIA,2022,AUT,Asia,ADB Accelerating Innovation in Transport,1052631.579,,Committed,Bilateral,ODA,Grant,mitigation,Transport,21010,UA,UA,"This contribution builds on the long-standing successful cooperation with the AsDB in the area of knowledge exchange and capacity building for sustainable transport solutions with a special focus on railways. The program aims to support a  country- or regional-specific knowledge transfer in the area of superstructure asset management, as well as technical feasibility studies of railway projects and/or institutional sector reforms. This should enable a shift from freight and  passenger transport from road to rail and thereby facilitate the transition to climate-friendly transport solutions.",Transport,,,,,Transport policy and administrative management,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1365,GERMANY,2022,DEU,Kenya,"Accompanying Measure for Renewable Energy Enhancement Facility, BMZ-Nr. 2022.7003.1, 2022",1052632,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1369,GERMANY,2022,DEU,Liberia,"Stromversorgung, BMZ-Nr. 2014.6894.1, 2022",1052632,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,1724,GERMANY,2022,DEU,Global,"Sustainable Urban Mobility in the South Caucasus (Mobility4Cities) - TUMI, BMZ-Nr. 2019.2270.7, 2022",1052632,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2389,GERMANY,2022,DEU,Global,"Globale Initiative fuer den Zugang zu Versicherungen, BMZ-Nr. 2018.2028.1, 2022",1052632,,Committed,Bilateral,ODA,Grant,Adaptation,Transport,Transport,,,,Transport,,,,,Transport,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,219,AUSTRALIA,2022,AUS,South-eastern Asia,Partnerships for Infrastructure (P4I),1105617.222,,Disbursed,Regional,ODA,Grant,Cross-cutting,"Other (Government and civil society)
Transport","15116
21011",Yes,,,"Other (Government and civil society)
Transport",,,,,15116,21011,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,226,AUSTRALIA,2021,AUS,Vietnam,Aus4transport,1111705.15,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21011,,,,Transport,,,,,21011,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,180,AUSTRALIA,2021,AUS,Vanuatu,Roads for Development Program Phase Two,1120200,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21020,,,,Transport,,,,,Road transport,,,,
NLD-CTF-FTC-2024-V1.0-20241216-102903_final-checked NETHERLANDS.xlsx,Table1_2022,246,NETHERLANDS,2022,NLD,Palestinian Territories,4000005167 - RAM Water Land and Roads Investm Program,1161062,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Water and Sanitation,14015,Yes,No,"Water, Land and Roads Investment Program - Activity is not confidential previous activity: 4000000025 (2017-2020) <(>&<)> 25565 (2013 – 2017) - https://www.nlontwikkelingssamenwerking.nl/#/activities/XM-DAC-7-PPR-4000005167?tab=summary",Water and Sanitation,,,,,Water resources conservation (including data collection),,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,3128,JAPAN,2022,JPN,Panama,Expenses for Priority Sectors/Regions in Rail Transport,1164825.232,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,378,GERMANY,2021,DEU,–South-eastern Asia,"Sustainable mobility in metropolitan regions, BMZ-Nr. 2020.2288.7, 2021",1176471,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,459,GERMANY,2021,DEU,Georgia,"Energy Sector Program (AM), BMZ-Nr. 2017.7033.8, 2021",1176471,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,531,GERMANY,2021,DEU,India,"Climate-friendly Energy supply (AM), BMZ-Nr. 2021.7009.0, 2021",1176471,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,906,GERMANY,2021,DEU,Mexico,"Implementation of the national climate protection targets in the Mexican transport sector, BMZ-Nr. 2018.2103.2, 2021",1176471,,Committed,Bilateral,ODA,Grant,Mitigation,Agriculture,Agriculture,,,,Agriculture,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,1098,GERMANY,2021,DEU,Global,"TUMIVolt – Urban Electromobility from Renewable Energies, BMZ-Nr. 2019.2274.9, 2021",1176471,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2021,67,EU,2021,,Kiribati,"TA for detailed engineering design for Kiritimati (Christmas) Island multi-purpose port, Republic of Kiribati. ",1183431.953,,Committed,Bilateral,ODA,Grant,Adaptation,Cross-cutting,210: Transport and storage,UA (1),UA (1),"The EU through this action will complete the technical, feasibility studies and design of a port in Kiritimati so construction can be effective once financial support is secured.",Cross-cutting,,,,,210: Transport and storage,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,470,JAPAN,2022,JPN,Cambodia,Preparatory Survey for Sihanoukville Port New Container Terminal Expansion Project,1188028.758,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,,Transport,,,,,,,,,
ESP-CTF-FTC-2024-V0.3-20250529-090652_started SPAIN.xlsx,Table1_2022,1052,SPAIN,2022,ESP,United Republic of Tanzania,Study for the reorganization and electrification of the public transport system in Zanzibar.,1241346.316,,Committed,Bilateral,OOF,Grant,Mitigation,Transport,21012 Public transport services,NR,NR,Supported by the Corporate Internationalization Fund (FIEM),Transport,,,,,21012,,,,
Copy of Support Reporting Table CTF IRL IRELAND.xlsx,Table1_2022,250,IRELAND,2022,IRL,Sudan,"UNDP Multipartner Trust Fund Office -Pooled Fund aligned to Sudan Humanitarian Response Plan covering 9 emergency clusters including camp cordination & management, education, food security, health, logistics, non food items & shelter, nutrition and protection.",1261962.352,,,Bilateral,ODA,Grant,Adaptation,Other (Humanitarian),72010,,,,Other (Humanitarian),,,,,Material relief assistance and services,,,,
Copy of Support Reporting Table CTF IRL IRELAND.xlsx,Table1_2022,252,IRELAND,2022,IRL,South Sudan,"UNDP Multipartner Trust Fund OfficePooled Fund aligned to South Sudan Humanitarian Response Plan covering 9 emergency clusters including camp cordination & management, education, food security, health, logistics, non food items & shelter, nutrition and protection.",1261962.352,,,Bilateral,ODA,Grant,Adaptation,Other (Humanitarian),72010,,,,Other (Humanitarian),,,,,Material relief assistance and services,,,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2022,218,EU,2022,,"Developing countries, unspecified",Support to Quality Infrastructure investments (SOURCE Platform),1263157.895,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,210: Transport and storage,UA (1),UA (1),"Support to Quality Infrastructure investments (SOURCE Platform):  The Action will support quality infrastructure investments through the SOURCE Platform. SOURCE is a global platform for project development, which was launched by Multilateral Development Banks (MDBs) in 2016. It provides comprehensive support covering governance, technical, economic, legal, financial, environmental and social issues in response to the G20 quality infrastructure principles.",Transport,,,,,210: Transport and storage,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2409,GERMANY,2022,DEU,Global,"Harnessing the potential of trees on farms for meeting national and global biodiversity targets, 2022",1263158,,Committed,Bilateral,ODA,Grant,Cross-cutting,Water and sanitation,Transport,,,,Water and sanitation,,,,,Transport,,,,
FRA-CTF-FTC-2024-V0.2-20241112-142707_vf FRANCE.xlsx,Table1_2021,80,FRANCE,2021,FRA,EGYPT,ENR TANTA - DAMIETTE-Renovation of the Tanta-Mansoura-Damietta railway line,1268250,,Committed,Bilateral,ODA,Grant,Mitigation,Infrastructure and urban development, ,,,AFD-CEG110002,Infrastructure and urban development,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2021,149,AUSTRALIA,2021,AUS,Papua New Guinea,Connect PNG Roads - PNG - Transport,1349037.962,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21020,,,,Transport,,,,,Road transport,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2047,JAPAN,2021,JPN,Nicaragua,The Economic and Social Development Programme_21,1366692.786,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,,No,No,,Transport,,,,,,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,2557,JAPAN,2021,JPN,Senegal,The Economic and Social Development Programme_28,1366692.786,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,,No,No,,Transport,,,,,,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2394,GERMANY,2022,DEU,Global,"Sector programme Multilateral Development Banks for Global Public Goods (MDBs for GPGs), BMZ-Nr. 2020.2158.2, 2022",1368421,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,Transport,,,,Transport,,,,,Transport,,,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2021,105,EU,2021,,"Developing countries, unspecified",Contribution to the UN Road Safety Fund (UNRSF),1420118.343,,Committed,Bilateral,ODA,Grant,Mitigation,Cross-cutting,210: Transport and storage,UA (1),UA (1),"The UNRSF aims to help low- and middle-income countries put in place effective national road safety systems in order to (a) substantially curb the number of fatalities and injuries from roads crashes, and (b) reduce economic losses from crashes.",Cross-cutting,,,,,210: Transport and storage,,,,
FRA-CTF-FTC-2024-V0.2-20241112-142707_vf FRANCE.xlsx,Table1_2022,186,FRANCE,2022,FRA,SENEGAL,FP Mobility RECFIM - Skills and  transfer of technologies useful for the development of the transport and mobility sector,1423950,,Committed,Bilateral,ODA,Grant,Mitigation,Education,11110,,,AFD-CSN157802,Education,,,,,Education policy and administrative management,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2022,964,JAPAN,2022,JPN,El Salvador,"The Project for Capacity Development of the Department of Climate Change Adaptation and Strategic Risk Management for Strengthening of Public Infrastructure, Phase II",1435051.538,,Disbursed,Bilateral,ODA,Grant,Cross-cutting,Transport,,Yes,No,Exchange rate is determined based on the date of committement,Transport,,,,,,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,129,AUSTRALIA,2022,AUS,Fiji,AIFFP - Fiji Airports,1471216.218,,Disbursed,Bilateral,OOF,Concessional loan,Adaptation,Transport,21010,,,,Transport,,,,,Transport policy and administrative management,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2419,GERMANY,2022,DEU,Global,"Enhancing Climate Services for Infrastructure Investments (CSI), 2022",1484211,,Committed,Bilateral,ODA,Grant,Adaptation,Water and sanitation,Transport,,,,Water and sanitation,,,,,Transport,,,,
AUT-CTF-FTC-2024 (1) AUSTRIA.xlsx,Table1_2022,28,AUSTRIA,2022,AUT,Egypt,Interest subsidy allowance for project: Railway construction machines incl. Training,1576315.789,,Committed,Bilateral,ODA,Other (Interest subsidy),mitigation,Transport,21030,UA,UA,"In Egypt, railways are an important means of transport, especially for the less wealthy part of the population. The equipment will play an important role in improving speed, quality and safety of rail transport, which will also make it more  attractive. A shift from road to the more environment-friendly rail transport is expected, leading to a reduction in emissions caused by transport.",Transport,,,,,Rail transport,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2212,GERMANY,2022,DEU,Mexico,"Program for the implementation of the national climate protection targets in the Mexican transport sector (phase II), BMZ-Nr. 2022.7035.3, 2022",1578947,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,190,AUSTRALIA,2022,AUS,Vanuatu,Roads for Development Program Phase Two,1637081.974,,Disbursed,Bilateral,ODA,Grant,Adaptation,Transport,21020,,,,Transport,,,,,Road transport,,,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2021,92,EU,2021,,Montenegro,03.EU for Support to Sustainable Connectivity and Green Economy in Montenegro ,1649704.142,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,210: Transport and storage,UA (1),UA (1),"Action plan composed by actions in the areas of Environment, Transport, Agriculture plus EU Integration Facility and EU Reform Facility.",Transport,,,,,210: Transport and storage,,,,
05. Annex III - Support CTFs (3) AUSTRALIA.xlsx,Table1_2022,228,AUSTRALIA,2022,AUS,Indonesia,Indonesia Infrastructure Program (KIAT) Phase 1 and 2,1656649.526,,Disbursed,Bilateral,ODA,Grant,Mitigation,"Water and Sanitation
Transport","21020
14021
14022",,,,"Water and Sanitation
Transport",,,,,Road transport,Water supply - large systems,Sanitation - large systems,,
EUU-CTF-FTC-2024-V0.6-20241217 EU.xlsx,Table1_2021,85,EU,2021,,"Europe, regional",Strengthening Environmental Resilience and Maritime Safety for Black and Caspian Sea riparian states,1656804.734,,Committed,Bilateral,ODA,Grant,Mitigation,Cross-cutting,210: Transport and storage,UA (1),UA (1),"The action aims at further enhancing the cooperation between beneficiary countries and with the EU Members States in the field of maritime safety and security, prevention of pollution from ships and marine environmental issues.",Cross-cutting,,,,,210: Transport and storage,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2022,2314,GERMANY,2022,DEU,Global,"Sustainable aprroaches to human mobility in the context of climate change, BMZ-Nr. 2017.4062.0, 2022",1684211,,Committed,Bilateral,ODA,Grant,Adaptation,Water and sanitation,Agriculture,,,,Water and sanitation,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,1031,GERMANY,2021,DEU,Global,"Promoting renewable energies in West Africa, BMZ-Nr. 2015.6513.4, 2021",1705882,,Committed,Bilateral,ODA,Concessional loan,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,364,GERMANY,2021,DEU,Zambia,"Linking Farmers to Markets through Improvement of Rural Roads, BMZ-Nr. 2016.6733.6, 2021",1764706,,Committed,Bilateral,ODA,Grant,Adaptation,Cross-cutting,Agriculture,,,,Cross-cutting,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,546,GERMANY,2021,DEU,India,"Integrated Sustainable Urban Transport Systems for Smart Cities, BMZ-Nr. 2015.2197.0, 2021",1764706,,Committed,Bilateral,ODA,Grant,Mitigation,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
DEU-CTF-FTC-2024 GERMANY.xlsx,Table1_2021,975,GERMANY,2021,DEU,Global,"Using systemic approaches and simulation to support transformation toward sustainable mobility, BMZ-Nr. 2021.3402.1, 2021",1764706,,Committed,Bilateral,ODA,Grant,Cross-cutting,Transport,Agriculture,,,,Transport,,,,,Agriculture,,,,
JPN-CTF-FTC-20241031r (1) JAPAN.xlsx,Table1_2021,1427,JAPAN,2021,JPN,Maldives,the Project for Strengthening the Capacities of the Maritime Rescue Coordination Centre (MRCC),1772144.979,,Disbursed,Bilateral,ODA,Grant,Adaptation,Other (Disaster risk reduction),Disaster risk reduction,No,No,,Other (Disaster risk reduction),,,,,Disaster risk reduction,,,,
